TreeID,qSpecies,qAddress,SiteOrder,qSiteInfo,PlantDate,year,DBH,Latitude,Longitude
2703,Pittosporum undulatum :: Victorian Box,2123 Bush St,1,Sidewalk: Curb side : Cutout,2/6/87,1987,12,37.78701284,-122.4329
63370,Eriobotrya deflexa :: Bronze Loquat,393 Crescent Ave,1,Sidewalk: Curb side : Cutout,2/10/87,1987,8,37.73496595,-122.4169463
63395,Metrosideros excelsa :: New Zealand Xmas Tree,345 Taylor St,1,Sidewalk: Curb side : Cutout,2/18/87,1987,6,37.78564369,-122.411357
63470,Pittosporum undulatum :: Victorian Box,2247 Turk Blvd,1,Sidewalk: Curb side : Cutout,3/19/87,1987,7,37.77861661,-122.4462231
63507,Lagunaria patersonii :: Primrose Tree,574 Paris St,1,Sidewalk: Curb side : Cutout,4/8/87,1987,4,37.71967746,-122.4365378
63549,Pittosporum undulatum :: Victorian Box,924 Central Ave,1,Sidewalk: Curb side : Cutout,4/13/87,1987,2,37.77827877,-122.4451479
63548,Prunus serrulata :: Ornamental Cherry,942 Central Ave,1,Sidewalk: Curb side : Cutout,4/13/87,1987,10,37.77850668,-122.4451948
63551,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',222 Mason St,1,Sidewalk: Curb side : Cutout,4/20/87,1987,11,37.78543716,-122.4094397
63567,Metrosideros excelsa :: New Zealand Xmas Tree,1570 43rd Ave,1,Sidewalk: Curb side : Cutout,4/27/87,1987,11,37.75739314,-122.5024143
63561,Metrosideros excelsa :: New Zealand Xmas Tree,1678 41st Ave,1,Sidewalk: Curb side : Cutout,4/27/87,1987,14,37.7554779,-122.5001281
63559,Metrosideros excelsa :: New Zealand Xmas Tree,3655 Lawton St,1,Sidewalk: Curb side : Cutout,4/27/87,1987,7,37.75676603,-122.5022953
63578,Agonis flexuosa :: Peppermint Willow,1359 Filbert St,1,Sidewalk: Curb side : Cutout,4/30/87,1987,17,37.79971152,-122.4218227
63571,Metrosideros excelsa :: New Zealand Xmas Tree,1554 44th Ave,1,Sidewalk: Curb side : Cutout,4/30/87,1987,12,37.75760054,-122.5035088
